City Name,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
pahalgam,34.0333,75.3333,56.16,90,24,2.59,IN,1628810853
kushmurun,52.4503,64.6311,52.63,69,18,8.66,KZ,1628810854
vredendal,-31.6683,18.5012,48.34,71,3,7.09,ZA,1628810854
sao paulo de olivenca,-3.3783,-68.8725,77.07,84,81,3.62,BR,1628810855
ambilobe,-13.2,49.05,66.0,84,0,3.83,MG,1628810855
kisangani,0.5167,25.2,70.2,93,30,0.83,CD,1628810856
manzhouli,49.6,117.4333,57.24,93,86,9.17,CN,1628810856
hualmay,-11.0964,-77.6139,63.72,77,9,11.86,PE,1628810856
milkovo,54.7167,158.6167,65.32,64,1,0.58,RU,1628810857
saint george,37.1041,-113.5841,101.79,23,1,3.0,US,1628810796
kidodi,-7.6036,37.0044,65.91,72,0,2.42,TZ,1628810857
usak,38.5,29.4167,63.25,63,0,11.43,TR,1628810858
izhma,65.0083,53.9113,59.49,97,100,6.15,RU,1628810858
andenes,69.3143,16.1194,53.58,94,90,4.61,NO,1628810859
luzhou,28.8724,105.4405,72.93,97,100,3.89,CN,1628810859
turbat,26.0023,63.044,79.74,79,7,5.77,PK,1628810861
vysokogornyy,50.1167,139.15,65.19,63,99,0.94,RU,1628810861
san antonio,29.4241,-98.4936,96.1,50,20,8.05,US,1628810839
vestmannaeyjar,63.4427,-20.2734,54.34,86,85,6.62,IS,1628810861
manta,-0.95,-80.7333,74.98,78,0,5.75,EC,1628810862
tura,25.5198,90.2201,74.75,99,100,7.96,IN,1628810862
noyabrsk,63.1994,75.4507,51.94,73,38,7.72,RU,1628810863
santa cruz,-17.8,-63.1667,65.66,36,75,8.05,BO,1628810579
vung tau,10.346,107.0843,80.87,81,100,10.45,VN,1628810863
whitehorse,60.7161,-135.0538,66.97,55,90,19.57,CA,1628810679
stokmarknes,68.5646,14.9108,55.49,94,100,4.16,NO,1628810864
bentonville,36.3728,-94.2088,96.66,48,1,8.05,US,1628810808
iqaluit,63.7506,-68.5145,40.73,100,90,9.22,CA,1628810864
agar,23.7,76.0167,72.88,86,100,8.93,IN,1628810865
mandan,46.8267,-100.8896,80.58,27,1,17.27,US,1628810807
lavumisa,-27.31,31.892,62.02,74,73,12.53,SZ,1628810865
baykit,61.67,96.37,62.06,78,99,2.86,RU,1628810866
khorixas,-20.3667,14.9667,54.93,54,0,1.03,NA,1628810866
naze,28.3667,129.4833,79.72,85,94,18.77,JP,1628810866
thinadhoo,0.5333,72.9333,81.75,76,99,17.45,MV,1628810867
golfito,8.639,-83.166,74.86,97,100,1.72,CR,1628810867
motygino,58.1831,94.7592,57.16,99,30,3.11,RU,1628810868
puteyets,65.1716,57.091,59.56,97,100,8.46,RU,1628810868
sekoma,-24.4,23.8833,49.37,30,4,8.86,BW,1628810869
jieshi,22.8134,115.8257,82.36,83,78,5.28,CN,1628810869
itarema,-2.9248,-39.9167,79.03,83,9,16.17,BR,1628810869
estelle,29.8458,-90.1067,84.04,71,1,3.44,US,1628810873
marica,-22.9194,-42.8186,67.95,87,93,12.33,BR,1628810873
boda,4.3189,17.4695,70.27,93,99,2.55,CF,1628810873
zavodoukovsk,56.5042,66.5515,49.23,83,57,4.38,RU,1628810874
kamenka,51.3223,42.7678,69.64,88,96,6.02,RU,1628810874
pershotravneve,51.3929,28.8684,56.89,87,11,8.01,UA,1628810875
yerbogachen,61.2767,108.0108,63.28,68,80,2.04,RU,1628810875
half moon bay,37.4636,-122.4286,93.97,69,1,17.27,US,1628810711
beringovskiy,63.05,179.3167,47.41,79,81,9.57,RU,1628810876
banjar,-8.19,114.9675,78.66,91,23,4.92,ID,1628810876
ulaangom,49.9811,92.0667,60.13,67,8,1.16,MN,1628810876
porto novo,6.4965,2.6036,78.62,88,90,6.24,BJ,1628810877
senanga,-16.1167,23.2667,57.24,33,0,5.01,ZM,1628810877
somerset,40.5668,-74.5496,93.18,64,1,1.01,US,1628810877
bagdarin,54.4333,113.6,55.92,93,90,1.3,RU,1628810878
frunze,48.6686,38.7544,74.07,54,100,5.68,UA,1628810878
verkhnevilyuysk,63.4453,120.3167,67.33,58,5,3.04,RU,1628810879
ilulissat,69.2167,-51.1,51.82,54,100,4.61,GL,1628810879
lavrentiya,65.5833,-171.0,43.0,61,37,6.85,RU,1628810880
flinders,-34.5833,150.8552,58.05,63,0,3.0,AU,1628810880
san-pedro,4.7485,-6.6363,75.78,86,99,9.24,CI,1628810880
airai,-8.9266,125.4092,62.06,57,45,4.18,TL,1628810881
lingao,19.9103,109.6859,81.43,75,97,4.47,CN,1628810881
novi sanzhary,49.3439,34.3108,62.8,61,43,9.73,UA,1628810881
camiri,-20.05,-63.5167,64.18,34,75,0.0,BO,1628810882
stryn,61.9045,6.7226,64.15,83,100,2.82,NO,1628810882
dharchula,29.85,80.5333,72.07,97,100,0.49,IN,1628810882
shangzhi,45.2167,127.9667,62.19,94,100,7.23,CN,1628810883
